Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities,Appliances,Links
House,Stone,147 sq.m.,1,4,1,Cosmetic Renovation,600 sq.m.,Ararat › Avshar,"35,000 ₽ monthly",RUB,"Сдаётся дом квартирной планировки. Четырёхкомнатнная, коммуникация вся есть. Газ, электрика, вода, канализация, отопление, мебель. Аренда на длительный срок. Фото по запросу.",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17749988
House,Stone,80 sq.m.,1,5,1,Major Renovation,,Yerevan › Nor Nork,"$1,500 monthly",USD,"KOD-62036A 5-room house is for rent in Nor Nork, on Lvovyan street.^ It is a very nice and comfortable house to live in^ It's a sunny, bright house at any time of the day^ The house is nicely furnished, clean, in very good condition^ Has all utilities^ There are all the necessary shops, a school, a kindergarten nearbyTranslated from Armenian",Nov-24-2022_22-59,Available,3 or more spots,5,Yes,No,Not included,2 months,,,https://list.am/en/item/18309742
House,Stone,50 sq.m.,1,1,1,Old Renovation,14 sq.m.,Yerevan › Erebuni,"130,000 ֏ monthly",AMD,"For rentin Erebuniin BhutanOwn houseSuitable for 1-2 people2 students2 builders2 persons; that the size of the house is comfortable for themThe monthly salary is AMD 130,000I will send picturesIt is also suitable for the officeFor computer workTranslated from Armenian",Nov-24-2022_22-59,Available,Not available,2,No,No,Not included,1 month,TElevision,"FRidge, stove, washing machine",https://list.am/en/item/16360850
House,Stone,200 sq.m.,2,3,2,Designer Renovation,200 sq.m.,"Улица Кентронакан 33, Аргаванд","$1,000 monthly",USD,"A two-storey private house is for rent, there is a high-quality heating system, permanent hot-cold water, two bathrooms, WiFi. Cost @ negotiableTranslated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/16577163
House,Stone,570 sq.m.,3,8+,3+,Major Renovation,850 sq.m.,Ararat › Argavand,"120,000 ֏ daily",AMD,"A 3-storey private house in Argavand is for daily rent (only the yard)Swimming pool (with filter)Booth for 30-35 peopleGrill, toaster. Room 1 table tennis-WIFI. 9:00-23:00Translated from Armenian",Nov-24-2022_22-59,,,7,Yes,No,By Agreement,By Agreement,,,https://list.am/en/item/18032841
House,Stone,264 sq.m.,2,4,2,Major Renovation,1100 sq.m.,Ararat › Geghanist,"980,000 ֏ monthly",AMD,"A private house for rent with an orchard, swimming pool, fireplace, jacuzzi, the whole area is fenced; Internet connection. It can also be given to two familiesTranslated from Armenian",Nov-24-2022_22-59,,,8+,Yes,Yes,Not included,1 month,,,https://list.am/en/item/18374375
House,Stone,60 sq.m.,2,3,1,No Renovation,500 sq.m.,Ararat › Pokr Vedi,"50,000 ֏ monthly",AMD,"The second floor of a two-story stone house is vacant, 3 rooms, not renovated, the toilet is outside.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/18374124
Country House,Monolith,800 sq.m.,1,2,2,Designer Renovation,300 sq.m.,Ararat › Artashat,$300 daily,USD,Find the best: Leisure activities with meCode ELITA184Translated from Armenian,Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/16179702
House,Stone,100 sq.m.,2,4,2,Major Renovation,500 sq.m.,Ararat › Geghanist,"90,000 ֏ daily",AMD,"?Dear customers, we present to you our new summer house, which is designed for the best leisure and eventsAddress: Geghanist3 bedroomsBeautiful yardSwimming poolՄSummer kitchenWe provide in the mentioned pricehe's dishesDaily fee: 90,000 dramsCode ELIT 909Translated from Armenian",Nov-24-2022_22-59,Available,Not available,5,Yes,No,Not included,2 months,,,https://list.am/en/item/16533900
Country House,Monolith,500 sq.m.,1,1,1,Designer Renovation,1000 sq.m.,Ararat › Vedi,"170,000 ֏ daily",AMD,"Ararat, VediRent a private house Օր:Enjoy your long-awaitedrest.• Only the yard is given.• Summer kitchen.• Pavilion.• Swimming pool.• Fenced yard.• Designed for 60 people.Book in advanceThe cost depends on the individualCheck in - 12:00:Check out - 00:00:We look forward to seeing youDaily fee: 170,000 dramsFor information, other apartments, or questionsCallCode ELIT306Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/16311653
House,Stone,300 sq.m.,2,6,2,Euro Renovation,,Ararat › Nor Kharberd,"150,000 ֏ monthly",AMD,"Сдаёттся частный дом все словия:Вода, свет, интернет, кондиционер, smart TVПросторный участок, гараж для автомобиля.Холодильник, новая кухная мебель.",Nov-24-2022_22-59,Available,1 spot,4,Yes,No,By Agreement,1 month,,,https://list.am/en/item/18218668
Country House,Stone,150 sq.m.,2,3,2,Designer Renovation,700 sq.m.,Ararat › Nor Kharberd,"25,000 ֏ daily",AMD,"A private house in Nor Khadberd is for daily rent. The summer house has gas, water, the size of the pool is 2x4 meters, 1.5m deep. There is also a grill and a toaster. It is suitable for family vacations and parties. The number of guests is 15 and more, and the overnight stay is 10 people.Country house for rent in Nor Harberd. There is water and gas in the house. Linen is issued. There is a barbecue and tondyr.Translated from Armenian",Nov-24-2022_22-59,,,8+,Yes,Yes,Included,By Agreement,,,https://list.am/en/item/18055290
House,Stone,240 sq.m.,3,5,2,Euro Renovation,700 sq.m.,"13th Street 30, Nor Kharberd","650,000 ֏ monthly",AMD,"Վարձով առանձնատուն բոլոր անհրաժեշտ հարմարանքներով։ տաք եվ սառը ջուր, բուխարի, ամառային խոհանոց, լողավազան, պտղատու այգի։Сдается частный дом со всеми необходимыми удобствами. Горячая и холодная вода, камин, летняя кухня, бассейн, фруктовый сад.",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/18282757
House,Stone,30 sq.m.,1,1,1,Cosmetic Renovation,50 sq.m.,"Artashat roadway, Burastan","10,000 ֏ monthly",AMD,"Read carefully and then callOne room in one's own house is given on the condition that you work in the lavash spread near the house____We do not give it in any other wayOh, I forgot to sayis freeJust work hard and get your moneyTranslated from Armenian",Nov-24-2022_22-59,Available,1 spot,2,Yes,No,By Agreement,By Agreement,,,https://list.am/en/item/18229822
House,Stone,100 sq.m.,2,2,2,Cosmetic Renovation,800 sq.m.,"Արգավանդ Երկաթգծի 3րդ փող․, Երևան","250,000 ֏ monthly",AMD,"Տրվում է վարձով առանձնատունԿոմունալ հարմարությունները առկա ենԳույք և տեխնիկան առկա է2֊ ննջարան, 1֊հյուրասենյակ 1 ֊ խոհանոց 2֊ սանհանգույց լոգարանովсдаётся в аренду двухэтажный дом возле аэропорта.Комунальными удобствомиГорячая вода, отопление, интернетДве спальни1 гостиннаяКухня2 ванная комната туалетTranslated from Armenian",Nov-24-2022_22-59,Available,3 or more spots,8+,Yes,Yes,Not included,1 month,"INternet, swimming pool, barbecue oven, gazebo","FRidge, microwave, washing machine, water heater",https://list.am/en/item/18106797
Country House,Stone,800 sq.m.,2,3,1,Designer Renovation,800 sq.m.,"Արգավանդ Երկաթգծի 3րդ փող․, Երևան","30,000 ֏ daily",AMD,"Hello...Private house for daily rent in Argavand with all amenities: Swimming pool, music, swings, hammock, grill, kitchen and all utilities.Available from 10:00 to 22:00.The cost: 35,000 with the house, 30,000 only for the yard.Designed for up to 25 people.Tel.:We will wait with loveTranslated from Armenian",Nov-24-2022_22-59,Available,3 or more spots,8+,Yes,Yes,Included,By Agreement,,,https://list.am/en/item/14582345
House,Stone,70 sq.m.,2,3,1,Major Renovation,,Yerevan › Davitashen,"400,000 ֏ monthly",AMD,"KOD-61104In Davitashen, a 2-story, 3-room detached house is for rent.^ Has all utilities^ It is a sunny, bright and nicely furnished house^ The house is in very good condition, clean, fully renovated^ There are all the necessary shops, a school, a kindergarten nearbyTranslated from Armenian",Nov-24-2022_22-59,Available,Not available,5,Yes,Yes,By Agreement,By Agreement,,,https://list.am/en/item/17784231
House,Stone,50 sq.m.,2,1,1,Major Renovation,10 sq.m.,"Aeracia street, Yerevan","120,000 ֏ monthly",AMD,"1 bedroom detached house for rent, located in the neighborhood of Yerevan. It has been completely renovated. It has a garage on the first floor.Code 61008Translated from Armenian",Nov-24-2022_22-59,Not available,1 spot,2,Negotiable,No,Not included,1 month,ALarm system,,https://list.am/en/item/16491915
House,Stone,90 sq.m.,1,4,1,Major Renovation,220 sq.m.,"Aeracia street, Yerevan","250,000 ֏ monthly",AMD,"KOD-61208The mansion is located next to Aeration, in Getapnya.^ A 1-story stone house with 4 rooms is for rent.^ Located in a busy area^ Close to bus stop, shops, school, kindergarten^ Completely renovated^ Provided with necessary equipment^ It has an individual heating system, round-the-clock water supply.^ There is a parking area in the yardTranslated from Armenian",Nov-24-2022_22-59,,,4,Yes,No,Not included,1 month,,,https://list.am/en/item/17785059
Townhouse,Stone,50 sq.m.,2,1,1,Major Renovation,10 sq.m.,Ararat › Ghukasavan,"120,000 ֏ monthly",AMD,"KOD-61188A private house is for rent in Ghukasavan. It has one room, kitchen, bathroom. There is a garage on the first floor. It is completely renovated and uninhabited. A water heater is installed.Translated from Armenian",Nov-24-2022_22-59,Not available,2 spots,2,Negotiable,No,Not included,1 month,ALarm system,,https://list.am/en/item/17509364
Country House,Stone,400 sq.m.,2,5,2,Major Renovation,1500 sq.m.,"Charents street, Mkhchyan","120,000 ֏ daily",AMD,"Fully renovated, garden, fireplace, tonir, summer kitchen, all rooms have air conditioner, furnished, appliances, garage, has a small swimming pool, also has a long term, call for detailsTranslated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17914397
House,Stone,50 sq.m.,1,2,1,Euro Renovation,50 sq.m.,"4-րդ շարք 1/46, Այնթապ","120,000 ֏ monthly",AMD,"The house is located at the beginning of Aintap, with all amenitiesThe street is pavedtransport very closenear schoolhas all the communal comforts,The price is final, with a mandatory deposit of 2 months.Translated from Armenian",Nov-24-2022_22-59,By agreement,Not available,6,Yes,Yes,Not included,2 months,,,https://list.am/en/item/18257019
Country House,Monolith,300 sq.m.,1,1,1,Major Renovation,3000 sq.m.,Ararat › Vedi,"70,000 ֏ daily",AMD,"Daily rent Private house in Vedi, country house in Vedi, daily rent private house in Vedi, house for rent, without overnight stay.Call in case of questions.Check-in at 10:00, check-out at 23:00Has all utilities.A beautiful, green garden:Summer kitchen, table, chairMangalToneParking lotSwimming poolLiving room + Kitchen(necessary dishes,1 bedroom️ (Equipped with necessary property)San Junction (with all utilities)Equipped with everything you need,Dynamic musicConstant hot and cold water,Book in advance.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/18020460
Country House,Stone,200 sq.m.,2,4,1,Major Renovation,300 sq.m.,Ararat › Mkhchyan,"120,000 ֏ daily",AMD,Please call for details.Translated from Armenian,Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17513941
House,Stone,55 sq.m.,1,2,1,Cosmetic Renovation,150 sq.m.,Yerevan › Avan,"180,000 ֏ monthly",AMD,"Внимание приезжим! Квартира сдается с животными можно с кошками. Сдается двух комнатная квартирана 2 этаже собственного 2-х этажного дома. Квартира рассчитана на 2-3 чел. Кухня-зал как студия, спальня, ванная комната.Постоянная вода. Интернет имеется. До центра можно доехать за 12 мин. Магазины поблизости имеютсяВ ближайшей доступности все овощные магазины, аптеки и пекарни. Дом сдается с депозитом и по договору, на срок от 6 мес и больше.Կոդ 7979",Nov-24-2022_22-59,Available,Not available,3,Yes,Yes,Not included,2 months,INternet,"FRidge, stove, coffee maker, washing machine, water heater",https://list.am/en/item/17348144
House,Stone,250 sq.m.,2,3,1,Major Renovation,650 sq.m.,Ararat › Khachpar,"300,000 ֏ monthly",AMD,"Կոդ՝ B-21101Վարձով է տրվում 3 հարկանի առանձնատան միայն 2-րդ հարկը Խաչփառ գյուղում։ Առանձնատունը կապիտալ վերանորոգված է, առաջին գիծ։ Մուտի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը (տաքացվող) ՝ լամինատ, սալիկ, սանհանգույցը՝ սալիկապատ։ Ունի բաց լոջա, խոհանոցի կահույք, բարեկարգ բակ՝ դեկորատիվ ծառերով, ջեռուցման համակարգ, մշտական ջուր և գազ։ Տրվում է կահույքի և տեխնիկայի հետ միասին։Գործակալության միջնորդավճարը կազմում է 50%: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։Тhe 2nd floor of the 3-storey house for rent in Khachpar Village. The rooms quantity is 3 (1 halls and 2 bedrooms) The house is newly renovated and is stationed on the first line․ The entrance door is iron-made, the windows are euro-based, the floor (heated) is covered by laminate and is tiled, the bathroom is tiled. The house has balcony, kitchen furniture, well-maintained yard with decorative trees, heating system and is supplied with constant water. The house is being sold with furniture and technical devices.The commission of the Real Estate Agency is 50%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_22-59,Available,Not available,4,Yes,Yes,By Agreement,By Agreement,,,https://list.am/en/item/17503246
House,Stone,569 sq.m.,3,8+,3+,Major Renovation,870 sq.m.,"Kentronakan street, Argavand","$3,500 monthly",USD,"3-storey private house is for rent in Argavand, 1st lineStone buildingRooms: 9 pieces1st floor: Living room, bedroom, kitchen, bathroom2nd floor: Entrance hall, 3 bedrooms, bathroom, open balcony3rd floor: 3 bedrooms, open balconyBathroom: 3 piecesThe house is fully repaired, the type of floor is parquet and heated press-granite.Utilities: Natural gas, individual heating system.It has a summer kitchen, a bathroom in the yard, a swimming pool, a pavilion, swings, palm trees, a parking lot for 6 cars, a basement of 120 sq. M.It is provided with all the necessary household items.The entrance is with a separate iron gate, there is a security system, security cameras.Call for more information.Code B1241Translated from Armenian",Nov-24-2022_22-59,Available,3 or more spots,8+,No,Negotiable,Not included,1 month,,,https://list.am/en/item/17646272
House,Stone,200 sq.m.,2,5,2,Euro Renovation,,"Kentronakan street, Yerevan","400,000 ֏ monthly",AMD,"A two-story house is for rent in Argavand, on Central Street. It is euro-renovated, heated with a baxi system and has air conditioning. The house is equipped with necessary furniture and appliances. For more information call. EdgarCode 1590Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/18129620
House,Stone,2000 sq.m.,1,3,1,Major Renovation,2000 sq.m.,Ararat › Ghukasavan,"$1,500 monthly",USD,"One-story private house for rent near Argavandi. The surface of the land is 2000 square meters, and the area of the building is 100 square meters. It is fully renovated, heated with a central heating system, and has an air conditioner. The house has a garage, a barbecue, a pavilion and a garden with fruit trees. It is provided with necessary furniture and appliances. If desired, a car will be provided at an additional cost. For more information call: NarineCode 3196Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17818864
Country House,Monolith,300 sq.m.,2,6,2,Euro Renovation,,Ararat › Hayanist,"$2,000 monthly",USD,"2-storey universal space for rent, 10 km from the center of Yerevan, the space is located on the side of the main road.1st floor, 150 square meters, fully renovated, suitable for any activity.2nd floor, 150 square meters, needs cosmetic repairs, suitable for living or carrying out activities.The area has:Gas:WaterCurrent (3-phase is also possible)InternetHeating SystemSecurity systemMovable barsVideo recording devicesTiled floor2 bathrooms2 open balconies (with beautiful views)If desired, repair is possible.If you want to make repairs, you will not pay for 1 monthTranslated from Armenian",Nov-24-2022_22-59,By agreement,Not available,8+,Yes,Yes,Not included,By Agreement,,,https://list.am/en/item/18365594
Country House,Stone,100 sq.m.,1,2,1,Partial Renovation,400 sq.m.,Ararat › Artashat,"30,000 ֏ daily",AMD,"A pavilion with a swimming pool for 15 people is available for daily rent, worth AMD 40,000. You can spend your rest, as well as happy gatherings, with loud music and comfort. The space is furnished with two-seater, beautiful, modern, soft and comfortable tapchans. If desired, bedrooms are also provided for overnight stays. There are 3 bedrooms, each worth AMD 10,000. We have a refrigerator, speakers, grill, bottles. It is located in Aygestan village of Artashat, 30 km from Yerevan. At a distance. In case of damage to the property and delivery of the premises in improper condition, money will be charged. Don't let the people of Punt call.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17663416
House,Stone,25 sq.m.,1,2,1,Cosmetic Renovation,100 sq.m.,Ararat › Noramarg,"70,000 ֏ monthly",AMD,The house is given to the couple.Translated from Armenian,Nov-24-2022_22-59,Available,Not available,2,Yes,No,By Agreement,2 weeks,,,https://list.am/en/item/17441482
Country House,Cassette,27 sq.m.,1,3,1,Partial Renovation,800 sq.m.,Ararat › Ayntap,"35,000 ֏ monthly",AMD,"For rent or for sale, summer house on the land, there is a small house (домик) in the apricot groves of Aintap, near the last stop of the route number 57, it is divided into 3 rooms, it has a wooden entrance, a large chula, there are several types of trees, there is electricity, drinking water, there is no gas, the toilet is unfinished, they live in it at the moment, call for other questions. Attention, THE HOUSE IS NOT A DORMITORY ON 9*3 DIVIDED INTO 3 ROOMS, THE OPPOSITE IS A BALCONY ON 3*4 AND A STOVE. Dear people, read carefully, water, gas is not drawn in. The toilet hole is dug. It's not built, I'll pay for the toilet if you build it.Translated from Armenian",Nov-24-2022_22-59,,Not available,1,Yes,Yes,Not included,2 months,,,https://list.am/en/item/16446999
House,Stone,50 sq.m.,2,1,1,Euro Renovation,,Ararat › Getapnya,"120,000 ֏ monthly",AMD,"KOD-61061A private house is for rent in Ghukasavan (near Yerevan) Close to school, shops. It has a garage, 1 room, 2 floors, the garage is on the first floor. You can see the pictures on the page.Translated from Armenian",Nov-24-2022_22-59,Not available,2 spots,2,Negotiable,No,Not included,1 month,ALarm system,,https://list.am/en/item/17463580
House,Stone,70 sq.m.,2,3,1,Euro Renovation,70 sq.m.,"Erkatgtsi 4th street, Yerevan","220,000 ֏ monthly",AMD,. With a deposit. On the road from the airport to YerevanTranslated from Armenian,Nov-24-2022_22-59,Available,3 or more spots,8+,Yes,Yes,Not included,2 months,"TElevision, internet, air conditioner","FRidge, stove, water heater",https://list.am/en/item/16027101
House,Stone,700 sq.m.,3,5,2,Major Renovation,1200 sq.m.,Ararat › Norabats,"400,000 ֏ monthly",AMD,"It is paid for the new opening of a private house. In case of questions, call Vibercapital VerNorogvatsiTranslated from Armenian",Nov-24-2022_22-59,Available,2 spots,8+,Yes,No,By Agreement,1 month,"TElevision, internet, air conditioner, swimming pool, sauna, fireplace, barbecue oven","FRidge, washing machine",https://list.am/en/item/18145974
House,Stone,200 sq.m.,1,6,2,Designer Renovation,400 sq.m.,Ararat › Darakert,"$1,600 monthly",USD,"The house has all utilities and household amenities.There is also a garage, swimming pool, barbecue, dishes, bedding.Code AK4642Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/18282677
House,Stone,120 sq.m.,2,4,1,Euro Renovation,1000 sq.m.,"5-րդ փողոց 81, Մասիս","150,000 ֏ monthly",AMD,"A two-storey private house with all its amenities, separate entrance, property and heating system is for rent. For details, call and visit our agency.Code 23100160Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17643159
Country House,Stone,150 sq.m.,2,4,2,Designer Renovation,700 sq.m.,"1st Street 10, Nor Kharberd","320,000 ֏ monthly",AMD,"House in Harput.Thoroughly reconstructed.Storey.3 bedrooms.2 bathrooms.Living room with kitchen in studio style.The house is heated by air conditioners.It has a big yard, land.The whole area is fenced.The area is monitored by camerasTranslated from Armenian",Nov-24-2022_22-59,,,6,Yes,Yes,Not included,1 month,,,https://list.am/en/item/12943699
House,Stone,250 sq.m.,1,3,1,Partial Renovation,1900 sq.m.,"Шоссе Гая 1, Овташат","140,000 ֏ monthly",AMD,It has all utilities. The land is cultivated. It is fertile and fertilizedTranslated from Armenian,Nov-24-2022_22-59,,,6,Yes,Yes,Not included,By Agreement,,,https://list.am/en/item/18275277
Country House,Cassette,100 sq.m.,1,1,1,Partial Renovation,400 sq.m.,"Shirak street 44, Aygestan","20,000 ֏ daily",AMD,"A recreation area, a pavilion for 25 people, a swimming pool, a barbecue and loudspeakers are for daily rent.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17652043
House,Stone,80 sq.m.,1,3,1,Euro Renovation,600 sq.m.,"4-րդ փողոց 29, Այնթապ","110,000 ֏ monthly",AMD,"House for rent in Aintap village, students or individuals are welcome to applyTranslated from Armenian",Nov-24-2022_22-59,,,3,No,No,Not included,1 month,,,https://list.am/en/item/18249201
House,Stone,150 sq.m.,2,4,1,Major Renovation,800 sq.m.,Ararat › Artashat,"250,000 ֏ monthly",AMD,"Summer house, swimming pool, gazebo, all facilities are available. Garage. 19 km from the center. It is given only to tourists.Translated from Armenian",Nov-24-2022_22-59,Available,1 spot,6,No,No,By Agreement,2 months,,,https://list.am/en/item/17596116
Country House,Stone,120 sq.m.,2,3,1,Euro Renovation,1600 sq.m.,Ararat › Nor Kharberd,"40,000 ֏ daily",AMD,"There are all facilities, for details, please call the indicated phone numberTranslated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/18091850
House,Stone,683 sq.m.,1,5,1,Cosmetic Renovation,,Ararat › Masis,$500 monthly,USD,Residential house area 268.3 sq. M. M.Greenhouse: 415.3 sq. M. M.Translated from Armenian,Nov-24-2022_22-59,,,4,Yes,No,Not included,2 months,,,https://list.am/en/item/18225762
House,Stone,250 sq.m.,1,6,1,Cosmetic Renovation,900 sq.m.,"Խաչատուր Աբովյանի փողոց 9, Բյուրավան","150,000 ֏ monthly",AMD,"A beautiful, comfortable private house is for long-term rent.Fully furnished.The house has:Fruit garden,Garage,Bakery,Basement,Dryer,BalconyThe house is located 15 km from YerevanTranslated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17824514
House,Stone,120 sq.m.,1,4,1,Euro Renovation,500 sq.m.,Ararat › Ayntap,"180,000 ֏ monthly",AMD,"Newly built, with all utilities, available for rent, 10,000 drams.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17495534
House,Stone,120 sq.m.,1,3,1,Cosmetic Renovation,1000 sq.m.,"Այվազյան փողոց 9, Ոստան","150,000 ֏ monthly",AMD,"The house c. It is 30 km from Yerevan.20 minutes by car.A 10-15 minute walk from the center of Artashat.Vostan village adjacent to Artashat, 5th street, 7 houses. It is in the center of the village near the school.3 months advance payment and rental agreement are mandatory.1 dining room of 50 square meters,2 bedrooms 25 square meters,1 kitchen,1 bathroom-toilet is in the house.It has been repaired. Only the doors and windows have not been changed.It is provided with hot and cold water and gas. It is heated by a gas stove.The house is very close.To shops,to schoolKindergartensports school,To the playgrounds.It can be reached in 10 minutes.Park,Banks, ATMs,supermarkets,hardware stores,pharmacies,Other schools, kindergartens.Beauty salons, etc.The roads are smooth, asphalted.Transport is always available.Yerevan buses pass by the house every hour.Translated from Armenian",Nov-24-2022_22-59,Available,3 or more spots,8+,Yes,Yes,Not included,3 months,INternet,"FRidge, stove, washing machine, water heater, iron",https://list.am/en/item/17938499
House,Stone,55 sq.m.,1,2,1,Old Renovation,600 sq.m.,Ararat › Nor Kharberd,"250,000 ֏ monthly",AMD,"VART190:1-storey private house is for rent in Nor Kharberd. The total area is 55 square meters, and the land is 600 square meters. The house is provided with communal facilities. Has an orchard, pavilion.Code VART-190Translated from Armenian",Nov-24-2022_22-59,,,3,Yes,Yes,Not included,By Agreement,,,https://list.am/en/item/17975037
House,Stone,60 sq.m.,1,2,1,Major Renovation,70 sq.m.,"11-րդ փողոց 15, Այնթապ","130,000 ֏ monthly",AMD,"The house is located at the beginning of Aintap, the street is asphalted, transport is very close to the school, it has all the utilities, the price is with a mandatory deposit of 2 months...Translated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/17685612
House,Stone,400 sq.m.,2,1,1,Designer Renovation,1200 sq.m.,Ararat › Ayntap,"80,000 ֏ daily",AMD,A private house is for daily rent in AyntapIt is given only in the yard without spending the nightSwimming poolSummer pavilion for 30 peopleGreen yardThere are necessary dishesSkewersBarbecueSpeakers:For more information callCode 50251Translated from Armenian,Nov-24-2022_22-59,,,8+,Yes,No,Included,By Agreement,,,https://list.am/en/item/17913057
House,Stone,120 sq.m.,1,4,1,Major Renovation,400 sq.m.,"11-րդ փողոց 23, Նոր Խարբերդ","220,000 ֏ monthly",AMD,"A 4-room detached house is for urgent rent in Nor Kharberd, close to the main road. The private house is fully renovated, furnished, has a heating system, air conditioning, and is fenced. It is given for a long term and with a deposit.50% commission.Code MA-675Translated from Armenian",Nov-24-2022_22-59,Available,3 or more spots,6,Yes,No,Not included,2 months,,,https://list.am/en/item/18176924
Country House,Stone,160 sq.m.,2,4,3+,Partial Renovation,800 sq.m.,"Մարշալ Խուդյակովի փողոց 18, Լանջազատ","300,000 ֏ monthly",AMD,"Վարձով է տրվում երկու հարկանի քարե ամառանոց Լանջազատ գյուղում, Երևանից 13 կմ հեռավորության վրա։-3 ննջարան,-3 սանհանգույց-տաղավար-մանղալ-բերքատու այգի-2 պատշգամբ-բուխարի-WifiՏունն ապահովված է բոլոր կոմունալ հարմարություններով՝ մշտական տաք և սառը ջուր, գազ, լույս և ոռոգման ջուր։Сдается двухэтажный каменный летний дом в селе Ланджазат, в 13 км от Еревана.-3 спальни-3 ванные комнаты-Беседка-мангал-фруктовый сад-2 балкона-Камин-WifiДом обеспечен всеми коммунальными удобствами: Постоянная горячая и холодная вода, газ, свет и поливная вода.A two-storey stone summer house for rent in the village of Lanjazat, 13 km from Yerevan.-3 bedrooms-3 bathrooms-pavilion-braizer-fruit garden-2 balconies-FireplaceThe house is provided with all the communal facilities: Constant hot and cold water, gas, light and irrigation water.",Nov-24-2022_22-59,Available,Not available,6,Yes,Yes,By Agreement,By Agreement,,,https://list.am/en/item/17670826
House,Stone,250 sq.m.,3,1,1,Designer Renovation,1000 sq.m.,Ararat › Artashat,"70,000 ֏ daily",AMD,"A spacious private house is for daily rent yesterday.40 people for the pavilion,10 people for overnight stay.Provided with all utilities.Summer kitchen.Mangal.Swimming pool. /7.5mx5mx1.5m /Summer kitchen with all amenities,Dishes are provided.three bedroomsspacious living room with air conditioner.The house is suitable for celebrating birthdays, family holidays, graduation parties, corporate parties.H. Գ. Please call 11: 00-20: 00Code 8123Translated from Armenian",Nov-24-2022_22-59,,,8+,Yes,No,By Agreement,By Agreement,,,https://list.am/en/item/12757983
House,Stone,200 sq.m.,2,6,1,Euro Renovation,700 sq.m.,Ararat › Argavand,"170,000 ֏ monthly",AMD,"Semi-basement under the two-story house, will serve as a production area, 3 sides fenced, 1 side fenced, with partial propertyTranslated from Armenian",Nov-24-2022_22-59,,,,,,,,,,https://list.am/en/item/18279773
