Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Links
House,Stone,130 sq.m.,2,5,3+,Designer Renovation,500 sq.m.,8+,Yes,Yes,Included,By Agreement,Gegharkunik › Sevan,"$1,100 monthly",USD,"Օրավարձով և երկարաժամկետ վարձակալության է տրվում դիզայներական ոճով վերանորոգված սեփական տուն՝ Սևանա լճի ափին։ Տունը նախատեսված է 10 անձի համար։Վերանորոգումը կատարվել է 2022թ-ի օգոստոս ամսին։Մահճակալները նոր են՝ օրթոպետիկ ներքնակներով, առկա է 3 սանհանգույց, սպասք, ինտերնետի հասանելիություն, սմարթ հեռուստացույց, բարձրակարգ մեդիա համակարգ, սառնարան, միկրոալիքային վառարան, թեյնիկ, մանղալ իր պարագաներով և այլն։Сдается посуточно и долгосрочно частный дом с дизайнерским ремонтом в Шорже, на берегу озера Севан. Дом рассчитан на 10 человек.Ремонт сделан в августе 2022 года.Кровати новые с ортопедическими матрасами, есть посуда, интернет, смарт ТВ, медиасистема высокого класса, холодильник, микроволновая печь, чайник, мангал с принадлежностями и т. Д.Также возможна аренда двора, цена будет 60 000 драм.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18202726
House,Stone,130 sq.m.,1,4,1,No Renovation,1200 sq.m.,,,,,,"Sevan-Martuni Highway, Lichk","65,000 ֏ monthly",AMD,"For sale, in case of long-term desire, sale.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17554338
House,Stone,64 sq.m.,1,3,1,Designer Renovation,120 sq.m.,7,Yes,No,Included,By Agreement,Gegharkunik › Sevan,"45,000 ֏ daily",AMD,3 bedroomsbathroombalconyliving roomsmall kitchenlake view**6-7 people**Code angar3Translated from Armenian,Nov-24-2022_22-58,Available,Not available,"TElevision, barbecue oven, gazebo",FRidge,https://list.am/en/item/18075167
House,Stone,145 sq.m.,1,4,1,Euro Renovation,600 sq.m.,,,,,,"Sayat-Nova Street 31/1, Sevan","15,000 ֏ daily",AMD,"Առանձնատունը կահավորված է, ջեռուցվում է, կա ամեն գույք բնակվելու համար։ Սևանա լճի լողափից 10րոպե (քայլք) հեռավորություն։ Դպրոց, մանկապարտեզ, խանութներ հարևանությամբ։ Լայնարձակ բակ + այգի + ավտոկայանատեղի։ Տրվում է նաև երկարաժամկետ։ Дом сдаётся со всеми принадлежностяами для прожывания, дом находится в тихом спокойном районе города Севана, не долеко от озеро Севана пишком 10 минут, рядом школа (напровление русское), детсад, прогулочный сад, стадион, личная порковка и т. Д. Երկարաժամկետ, կամ ամսեկան վարձակալության դեպքում այլ վճար 180000amd на длительный срок",Nov-24-2022_22-58,,,,,https://list.am/en/item/17541948
Country House,Bricks,30 sq.m.,1,3,1,Designer Renovation,50 sq.m.,,,,,,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,The cabin is located on the shore of Sevan near Harnskar. It has been fully renovated. It has 2 bedrooms and 1 living room. It is located 30 m from the shore in the forest area. It is very suitable for organizing family vacations.Translated from Armenian,Nov-24-2022_22-58,,,,,https://list.am/en/item/18094514
Country House,Stone,80 sq.m.,1,4,1,Major Renovation,,,,,,,"Yerevanyan highway, Սևան","35,000 ֏ daily",AMD,"LAVANDA CITY LAVANDA CITY LAVANDA CITY:Spacious living roomKitchen (refrigerator, dishes)Bathroom3 spacious bedroomsSpacious balconyHeating system, permanent cooling: Cold waterGreen garden,Pavilion, barbecue,Parking:Code KV002Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/14389879
House,Stone,46 sq.m.,1,2,2,Major Renovation,30 sq.m.,,,,,,"Sayat Nova street, Sevan town","12,000 ֏ daily",AMD,"A house with 2 separate apartments for daily rent (Sevan city)The apartments are designed for 3-4 people.Each apartment has:1 bathroom1 bedroomkitchenhot and cold waterelectric gas stoverefrigeratornecessary utensilssmart tv1 double bed1 sofa (folding)Wi-FiThe apartments are rented both separately and together.The cost of renting each apartment for one day is AMD 12,000.In case of renting together, there will be a discount system.Discounts will also apply if you rent for 2 or more days.The distance to the beach is 1.5 km from the house.Address: Sayat-Nova 26, c. Sevan.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17999446
Country House,Wooden,27 sq.m.,1,2,1,Major Renovation,,,,,,,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,"A house for rent on the banks of the Sevan, two rooms with their own gazebos, 30 meters from the shore. Gazebo house. Domik irenc besedkovTranslated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18091147
House,Stone,110 sq.m.,1,4,1,Old Renovation,300 sq.m.,7,Yes,Yes,Not included,2 months,"Դեմիրճյան փողոց 32, Գավառ","40,000 ֏ monthly",AMD,"The house is located in the province, near the vaikomatTranslated from Armenian",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/18220410
House,Stone,80 sq.m.,1,2,1,Old Renovation,,1,No,No,Not included,By Agreement,Gegharkunik › Shoghakat,"70,000 ֏ monthly",AMD,"A private house on the shore of Lake Sevan in the village of Shorzha is for sale, exchange or rent. The house consists of four rooms, a kitchen, a bathroom and a bathroom are located inside the house. There is a large open balcony in front of the house. The house is gasified, 2 gas stoves and a water heater are installed, it is provided with constant water and electricity, the wires of which have been changed.The house is located in the center of the plot, it has no common walls with the neighbors. In front of the house there is a large garden with fruit trees, in the back of the house there is a large, watered plot for cultivation. There is a large cellar and a barn in the yard. An iron gate is installed, the door of the house is also iron. The house is furnished, if necessary, dishes and bedding will be provided. In front of the house there is a large garden and a yard that can be used as a parking lot.Translated from Armenian",Nov-24-2022_22-58,Available,1 spot,,,https://list.am/en/item/17580753
House,Stone,1100 sq.m.,1,3,1,Euro Renovation,,,,,,,Gegharkunik › Sevan,"30,000 ֏ daily",AMD,"Օրավարձով/երկարաժամկետ է տրվում ամառանոց Սևանի թերակղզում։ Ամառանոցը ամբողջությամբ շրջապատված է սոճիների անտառով և նախատեսված է ընտանեկան հանգստի համար (2-3 ընտանիք կտեղավորվի), տարածքը ցանկապատված է և առանձնացված։ Տարածքում կա 2 տաղավար` Մեծ (40-45 տեղանոց) և փոքր (8-10 տեղանոց), աղյուսից մանղալ բոլոր պարագաներով, տեռաս (բալկոն) բացօթյա նստելու համար, խոհանոց (սպասք, սառնարան, տաք ջուր, թեյնիկ), սանհանգույց (առաջին անհրաժեշտության հիգիենիայի պարագաներով) ։ Առանձնատունը ունի անմիջական ելք դեպի լճի ափ և մոտ է Սևանավանքին (50մ) ։ Գինը` Սակարկելի։Ru.Сдаётся летний дом на полуострове Севан посуточно. Летний дом полностью окружен сосновым лесом и предназначен для семейного отдыха (разместятся 2-3 семьи), территория огорожена и отделена. На территории 2 павильона: Большой (40-45 мест) и малый (8-10 мест), кирпичный мангал со всеми принадлежностями, терраса (балкон) для посиделок на свежем воздухе, кухня (посуда, холодильник, горячая вода, чайник), санузел (с необходимыми предметами гигиены) Дом имеет прямой выход к берегу озера и находится недалеко от Севанаванка (50м) Цена договорная.Eng:Summer house for daily rent on the Sevan peninsula. The summer house is completely surrounded by a pine forest and is designed for family holidays (2-3 families can accommodate), the area is fenced and separated. There are 2 pavilions on the territory: A large one (40-45 seats) and a small one (8-10 seats), a brick barbecue with all accessories, a terrace (balcony) for outdoor gatherings, a kitchen (dishes, a refrigerator, hot water, a kettle), a bathroom (with the necessary hygiene items) The house has direct access to the lake and is located near Sevanavank (50m) The price is negotiable",Nov-24-2022_22-58,,,,,https://list.am/en/item/18024208
Country House,Stone,50 sq.m.,1,3,1,Major Renovation,550 sq.m.,6,Yes,No,By Agreement,By Agreement,Gegharkunik › Sevan,"35,000 ֏ daily",AMD,"A comfortable cottage for daily rent in Sevan Lavender City, with all amenities. Minimum 3 days. Long-term rental is also possible. Call for questions.Translated from Armenian",Nov-24-2022_22-58,Available,3 or more spots,,,https://list.am/en/item/17870313
Country House,Stone,100 sq.m.,1,3,1,Major Renovation,,7,Yes,No,Not included,By Agreement,Gegharkunik › Sevan,$700 monthly,USD,"Я собственникЗдается вилла, коттедж на берегу озера Севан.В вилле есть все принадлежности для отдыха и организование пикника. В Вилле могут проживать до семьи человек и вилла включает из себя из двух спален и гостиной комнатой.Вилла сдаётся на длительный срок. Все подробности по телефону. Можете также позвонить на Viber, WhatsApp и TelegramՍեփականատերն եմ:Օրավարձով է տրվում երեք սենյականող առանձնատուն Սևանում: Առկա է անվճար ինտերնետ: Տարածքը պարսպապատ է և հսկվում է: Պատշգամբից բացվում է գեղեցիկ տեսարան դեպի Սևանա լիճը: Երկու և ավելի օր վարձակալելու դեպքում վարձը սակարկելի է: Հարմար է տարատեսակ միջոցառումների կազմակերպման համար։ Գիշերակաց հնարավոր է մինչև 8 անձի համար:Villa for rent in Sevan. From the terrace is opening a great view to the lake. The place is surrounded with different kind of trees. The price for one night is mentioned below. The Villa has all the necessary equipment's. In case of booking for more than one night discounts are applicable. The maximum capacity is for 8 person.",Nov-24-2022_22-58,Available,1 spot,,,https://list.am/en/item/11836807
House,Stone,80 sq.m.,1,3,1,Euro Renovation,"10,000 sq.m.",8+,Yes,Yes,Not included,Without prepayment,"Шоссе Ереванян 3, Севан","30,000 ֏ daily",AMD,"Комфортабельный коттедж со всеми удобствами сдается посуточно в городе Лаванда.Постоянная горячая-холодная вода, кухня /газ/, холодильник, 2 спальни.Просторный двор, есть беседка, мангал, парковка.Прекрасный вариант для полноценного семейного отдыха.",Nov-24-2022_22-58,,,,,https://list.am/en/item/17958215
Country House,Stone,300 sq.m.,1,3,1,Euro Renovation,,7,Yes,No,Included,By Agreement,Gegharkunik › Sevan,"25,000 ֏ daily",AMD,"The summer house is for daily rent, located on the beach near the Maria Resort in Sevan, a few meters from the shore, with all utilities,thoroughly reconstructed,is full of furniture, dishes,windows and doors of European production,the bathroom is tiledconstant cold water,open balcony, outside door is ironTranslated from Armenian",Nov-24-2022_22-58,Available,3 or more spots,,,https://list.am/en/item/17994607
House,Stone,70 sq.m.,1,3,1,Designer Renovation,1200 sq.m.,6,Yes,Yes,Included,1 month,Gegharkunik › Sevan,"100,000 ֏ daily",AMD,Месячной зарплатой предлагаю домTranslated from Armenian,Nov-24-2022_22-58,,Not available,,,https://list.am/en/item/17932647
Country House,Wooden,28 sq.m.,1,3,1,Designer Renovation,,,,,,,Gegharkunik › Gavar,"7,000 ֏ daily",AMD,"Capital renovated, located on the banks of Sevan, 3-room apartment, bright and very quiet and comfortable place. Daily rent 7000, monthly rent 90000, very close to Gavar Yerevan road. Call for questions.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18372289
Country House,Stone,500 sq.m.,2,3,1,Major Renovation,700 sq.m.,8+,Yes,Yes,Not included,1 month,"Կենտրոնական հրապարակ 10, Գավառ","50,000 ֏ daily",AMD,"Summer house is located in Hayravank village, it has 3 bedrooms, a spacious living room, there is constant gas, water (hot or cold)restaurant (1 km), located in Hayravank church, family holiday is located 700 m away from the lakeCode 9103Translated from Armenian",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/16289789
House,Stone,150 sq.m.,1,5,1,Partial Renovation,800 sq.m.,8+,Yes,Yes,Not included,Without prepayment,"Vardan Mamikonyan street, Tairov","70,000 ֏ monthly",AMD,"Վարձով է տրվում ընդարձակ տոն բոլոր կոմունալ հարմարություններով`ջուր գազ հոսանք։ Տունը տրվում է կահույքով ։ Գործակալություն չէСдается просторный дом со всеми коммуникациями: Вода, газ, электричество. Дом меблирован. Не агентствоFor rent, a spacious house with all utilities: Water, gas, electricity. The house is furnished. Not an agency",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/18348349
Country House,Stone,100 sq.m.,1,2,1,Major Renovation,,,,,,,Gegharkunik › Sevan,"180,000 ֏ monthly",AMD,"Частный дом, чистый новый, все окуратно, со всеми услугами.",Nov-24-2022_22-58,,,,,https://list.am/en/item/17791116
House,Stone,220 sq.m.,1,2,1,Major Renovation,500 sq.m.,6,Yes,Yes,Included,By Agreement,Gegharkunik › Sevan,"20,000 ֏ daily",AMD,"Cottage on the shore of Lake Sevan.* 2 bedrooms* 1 bathroom* mangal, (barbecue bottle)* dishes, bedding (for 5 people)*pavilion* parking lot* Wi-Fi* TVSpend your vacation on the shore of Lake Sevan.For more information call:Check-in: Check in at 14:00Check-out: Departure 12:00Code RaymondTranslated from Armenian",Nov-24-2022_22-58,Available,1 spot,,,https://list.am/en/item/17898393
Country House,Wooden,16 sq.m.,1,1,1,Major Renovation,,2,Yes,Yes,Included,Without prepayment,Gegharkunik › Sevan,"8,000 ֏ daily",AMD,"Hello dear visitor.A wooden cottage is for daily rent on the banks of Sevan, in the Yeghevni forest. House cabinThe name of the cottage is ""Triangle"", it is designed for two people, the front part of the cottage opens if desired.The price is AMD 8,000 instead of AMD 19,000.Price includes:1. Entrance to White Shorja2. Breakfast (for 3 persons)3. Fields (Football, Volleyball)4. Children's games5. Parking lot6. Pistols7. Music8. Evening bonfireWe also have other services:1. The restaurant2. Tents3. Horse riding4. Sailing5. Scooters6. Photo sessionWe look forward to your reservations.We are located on the shore of Lake Sevan, in the fir forest, near the village of Shorzha.Translated from Armenian",Nov-24-2022_22-58,Available,1 spot,,,https://list.am/en/item/17669170
Country House,Wooden,25 sq.m.,1,1,1,Major Renovation,,4,Yes,Yes,Included,Without prepayment,Gegharkunik › Sevan,"20,000 ֏ daily",AMD,"Hello dear visitor. A brand new wooden cottage is for daily rent on the banks of Sevan, in the forest of Yeghevni. Qotej Sevan, Shorja Sevanum, cottage in the forest, Rent house on the beachThe name of the cottage is ""VIP"" (our largest cottage and most comfortable)The cottage has a comfortable bathroom and a bathtub.The price is AMD 20,000 instead of AMD 50,000.Price includes:1. Entrance to White Shorja2. Breakfast (for 3 persons)3. Fields (Football, Volleyball)4. Children's games5. Parking lot6. Pistols7. Music8. Evening bonfireWe also have other services:1. The restaurant2. Tents3. Horse riding4. Sailing5. Scooters6. Photo sessionWe look forward to your reservations.We are located on the shore of Lake Sevan, in the fir forest, near the village of Shorzha.Translated from Armenian",Nov-24-2022_22-58,Available,1 spot,,,https://list.am/en/item/17685758
House,Wooden,17 sq.m.,1,1,1,Major Renovation,,2,Yes,Yes,Included,Without prepayment,Gegharkunik › Sevan,"8,000 ֏ daily",AMD,"Hello dear visitor. The ""Triangle"" cottage on the banks of Sevan, in the spruce forest, is for daily rent for 2 people. Qotej Sevan, Shorja, cottage in the forest, Rent house on the beachThe price is AMD 8,000 instead of AMD 19,000.Price includes:1. Entrance to White Shorja2. Breakfast (for 2 persons)3. Fields (Football, Volleyball)4. Children's games5. Parking lot6. Pistols7. Music8. Evening bonfireWe also have other services:1. The restaurant2. Tents3. Horse riding4. Sailing5. Scooters6. Photo sessionWe look forward to your reservations.We are located on the shore of Lake Sevan, in the fir forest, near the village of Shorzha.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17838256
Country House,Stone,190 sq.m.,2,4,3+,Euro Renovation,,,,,,,Gegharkunik › Norashen,"70,000 ֏ daily",AMD,"Gexama Ashxarh քոթեջը իր հյուրընկալ դռներն է բացում այցելուների առաջ։ Առանձնատունը գտնվում է Սևանի ափին, նոր է վերանորոգված, կահավորված, Ունի կոմունալ բոլոր հարմարությունները,3 և ավել օրերի ամրագրման դեպքում կգործեն զեղչեր։️ Հարմարավետ հանգիստ️ Գեղեցիկ ինտերիեր️ Ընտանեկան ջերմ մթնոլորտՁեզ ենք առաջարկում `4 ննջարանԸնդհարձակ հյուրասենյակ3 սանհանգույց որից մեկը ննջասենյակումԽոհանոց ` Սնունդը տեղում պատրաստելու բոլոր հնարավորություններովԱնվճար Wi-FiԳազ, մշտական ջուր (սառը և տաք)Մանղալ, թոնիրГостевой дом Gexama Ashxarh открывает свои гостеприимные двери для посетителей.Мы предлагаем вам `4 спаленБольшая гостиная3 санузлаКухня со всеми удобствами для приготовления пищи на местеКомнаты, оборудован всеми техническими и коммунальными удобствамиОткрытый балкон с красивым видом на Озеро СеванБесплатный Wi-FiБеседка и мангалИдеально для семейного отдыха и для мероприятия. Это наилучшее место для супружеских пар, активных групп и семей. Погостить и хорошо провести время могут до 25 человек, ночевать в гостевом доме - до 9 человекДля подробностей и бронирование можете написать или позвонить.",Nov-24-2022_22-58,,,,,https://list.am/en/item/17725217
Townhouse,Stone,90 sq.m.,1,1,1,Designer Renovation,,,,,,,Gegharkunik › Gavar,"50,000 ֏ daily",AMD,"Арендуйте уютные коттеджи на берегу озера Севан. Комфортабельный коттедж предлагает уютный дом для проведения отдыха. Коттедж на берегу озера Севан, шикарный дизайн,   большая гостиная,   1 спальная комната, оборудован всеми техническими и коммунальными удобствами, кухня со всеми удобствами для приготовления пищи на месте.Идеально для семейного отдыха и для мероприятия. Это наилучшее место для супружеских пар, активных групп и семей.Коттеджи Gexama Ashxarh удобны для проживание до 4 человек. Заплатите 50.000 за день.Для подробностей и бронирование можете написать или позвонить",Nov-24-2022_22-58,,,,,https://list.am/en/item/17800470
Country House,Stone,50 sq.m.,1,3,1,Euro Renovation,,,,,,,Gegharkunik › Sevan,"15,000 ֏ monthly",AMD,"Сдаётся в аренду дача. Местоположение город Севан, в ЛАВАНДА СИТИ. 15,000 драмов в сутки. При желании можем отвезти и привезти обратно 7000 драмов туда, 7000 драмов обратно. Минимальный срок аренды 3 дня!",Nov-24-2022_22-58,,,,,https://list.am/en/item/17983178
House,Stone,440 sq.m.,2,8+,1,Cosmetic Renovation,2640 sq.m.,5,Yes,No,Not included,3 months,Gegharkunik › Vardenis,"180,000 ֏ monthly",AMD,"A two-story house is for rent in Vardenis city, there is constant hot and cold water, a cattle shed, a garage, fruit trees, it is for long-term rent, only those who really want to call.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18368897
Country House,Wooden,100 sq.m.,1,2,1,Cosmetic Renovation,2000 sq.m.,6,Yes,Yes,Included,By Agreement,Gegharkunik › Sevan,"8,000 ֏ daily",AMD,"2,3,4-room cottages are for daily rent on the shores of Xi'an, Furnished, clean+ free pavilions, playground, cottages.There is also a 4-room cottage for 8 to 10 peopleThere are also separate pavilions on the family beach, prices starting from 3 thousand dramsTranslated from Armenian",Nov-24-2022_22-58,Not available,1 spot,,,https://list.am/en/item/17884918
Country House,Stone,70 sq.m.,1,3,1,Designer Renovation,200 sq.m.,,,,,,Gegharkunik › Sevan,"20,000 ֏ daily",AMD,Удобный коттедж в гостеприимной Лаванде Сити.,Nov-24-2022_22-58,,,,,https://list.am/en/item/18006616
House,Stone,280 sq.m.,2,6,1,Old Renovation,1000 sq.m.,8+,Yes,Yes,Not included,By Agreement,"Sardaryan street 2, Stepanakert",$800 monthly,USD,"A private house is for rent in Lanjaghbyur village, Gegharkunik region. There are fruit trees in the garden, it is fenced, has a garage, tonratun and warehouses.Translated from Armenian",Nov-24-2022_22-58,,3 or more spots,,,https://list.am/en/item/17479799
House,Stone,1200 sq.m.,2,3,2,Major Renovation,,,,,,,"Ազատության փողոց 21, Սևան","35,000 ֏ daily",AMD,"Վարձով է տրվում առանձնատուն Սևան քաղաքում:Տունը գտնվում է լճից 600 մետր հեռավորության վրա, Հարսնաքարի հարևանությամբ։Ընդհանուր մակերեսը կազմում է 1200քմ բնակելի` 110քմ, ննաջսենյակների քանակը՝ 3:Առանձնատունն ունի կաթսայատուն (BAXI), լվացքի մեքենա: Ապահովված է մշտական տաք և սառը ջրով:Վարձով տրամադրվում են նաև առանձին սենյակները օրական 15000-20000 դրամով։Տունը տրվում է նաև երկարաժամկետ վարձկալության։Дом в 600 метрах от озера Севан.Сдается посуточно полностью отремонтированный частный дом со всеми удобствами.Общая площадь 1200 кв. М. , жилая площадь: 110 кв. М. , количество спален: 3.В доме есть котельная (BAXI), стиральная машина. Обеспечены постоянной горячей и холодной водой.Возможна аренда отдельных комнат за 15 000-20 000 драм в сутки.Дом также доступен для долгосрочной аренды.House 600 meters from Lake Sevan.House for rent in Sevan.Total area 1200 sq. M. , living area: 110 sq. M. , number of bedrooms: 3.The house has a boiler room (BAXI), washing machine. Provided with constant hot and cold water.Separate rooms are also available for rent for 15,000-20,000 AMD per day.The house is also available for long-term rent.",Nov-24-2022_22-58,,,,,https://list.am/en/item/18153650
Country House,Stone,90 sq.m.,1,3,1,Designer Renovation,500 sq.m.,6,Yes,Yes,Not included,By Agreement,"Camp Roadway 1st lane, Gorgoch","40,000 ֏ daily",AMD,"Sevan-Shorzha summer house is located next to Whithe shorna. Near the shore. It is furnished, with dishes, appliances, wi fi, hot and cold water. Daily rent.Translated from Armenian",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/17829169
